Profile Summary
Generated on: 2020-10-14 14:12:55
Msec since Epoch: 1602706375001
Profiled application: host
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.526
Build version branch: master
Build version hash: 9fdfc7c1567ed80f3d53b05ac002358cfa702f9d
Build version date: N/A 
Target devices: xilinx_u50lv_gen3x4_xdma_base_2-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clGetDeviceInfo,2,104.974,0.010129,52.4871,104.964,
clCreateProgramWithBinary,1,62.9026,62.9026,62.9026,62.9026,
clCreateContext,1,14.3078,14.3078,14.3078,14.3078,
clSetKernelArg,7,10.1109,0.002644,1.44441,4.40437,
clCreateKernel,1,0.472788,0.472788,0.472788,0.472788,
clEnqueueMigrateMemObjects,2,0.45177,0.075821,0.225885,0.375949,
clEnqueueTask,1,0.072795,0.072795,0.072795,0.072795,
clGetPlatformIDs,2,0.036328,0.002996,0.018164,0.033332,
clCreateBuffer,6,0.028062,0.002895,0.004677,0.007765,
clRetainMemObject,6,0.021481,0.002695,0.00358017,0.007043,
clReleaseMemObject,6,0.020869,0.002745,0.00347817,0.004398,
clCreateCommandQueue,1,0.010149,0.010149,0.010149,0.010149,
clRetainDevice,3,0.008526,0.002655,0.002842,0.003106,
clGetDeviceIDs,2,0.007635,0.002976,0.0038175,0.004659,
clGetPlatformInfo,2,0.006261,0.002715,0.0031305,0.003546,
clReleaseDevice,1,0.003386,0.003386,0.003386,0.003386,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Compute Units: Stall Information
Compute Unit,Execution Count,Running Time (ms),Intra-Kernel Dataflow Stalls (ms),External Memory Stalls (ms),Inter-Kernel Pipe Stalls (ms),
vadd_1,0,0,0,0,0,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u50lv_gen3x4_xdma_base_2-0,vadd_1,0,0,0,0,0,0,0,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u50lv_gen3x4_xdma_base_2-0,0.000000,
DEVICE_EXEC_TIME,xilinx_u50lv_gen3x4_xdma_base_2-1,0.000000,
CU_CALLS,xilinx_u50lv_gen3x4_xdma_base_2-0|vadd_1,0,
NUM_MONITORS,xilinx_u50lv_gen3x4_xdma_base_2-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_u50lv_gen3x4_xdma_base_2-0|XCL_PERF_MON_MEMORY|3,3,
NUM_MONITORS,xilinx_u50lv_gen3x4_xdma_base_2-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,2,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[0],1,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[10],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[11],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[12],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[13],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[14],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[15],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[16],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[17],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[18],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[19],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[1],1,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[20],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[21],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[22],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[23],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[24],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[25],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[26],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[27],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[28],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[29],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[2],1,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[30],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[31],0,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[3],1,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[4],1,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[5],1,
MEMORY_USAGE,xilinx_u50lv_gen3x4_xdma_base_2-0|HBM[6],0,
