Timeline Trace
Generated on: 2020-10-14 14:12:55
Msec since Epoch: 1602706375001
Profiled application: host
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.526
Build version branch: master
Build version hash: 9fdfc7c1567ed80f3d53b05ac002358cfa702f9d
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
3712.58512,clGetPlatformIDs|General,START,,,,,,,,,,,0,
3712.618452,clGetPlatformIDs|General,END,,,,,,,,,,,0,
3712.622569,clGetPlatformIDs|General,START,,,,,,,,,,,1,
3712.625565,clGetPlatformIDs|General,END,,,,,,,,,,,1,
3712.628801,clGetPlatformInfo|General,START,,,,,,,,,,,2,
3712.632347,clGetPlatformInfo|General,END,,,,,,,,,,,2,
3712.635133,clGetPlatformInfo|General,START,,,,,,,,,,,3,
3712.637848,clGetPlatformInfo|General,END,,,,,,,,,,,3,
3712.696316,clGetDeviceIDs|General,START,,,,,,,,,,,4,
3712.700975,clGetDeviceIDs|General,END,,,,,,,,,,,4,
3712.70381,clGetDeviceIDs|General,START,,,,,,,,,,,5,
3712.706786,clGetDeviceIDs|General,END,,,,,,,,,,,5,
3712.710092,clRetainDevice|General,START,,,,,,,,,,,6,
3712.713198,clRetainDevice|General,END,,,,,,,,,,,6,
3712.715742,clRetainDevice|General,START,,,,,,,,,,,7,
3712.718397,clRetainDevice|General,END,,,,,,,,,,,7,
3712.721393,clReleaseDevice|General,START,,,,,,,,,,,8,
3712.724779,clReleaseDevice|General,END,,,,,,,,,,,8,
3712.727404,clRetainDevice|General,START,,,,,,,,,,,9,
3712.730169,clRetainDevice|General,END,,,,,,,,,,,9,
3712.734618,clGetDeviceInfo|General,START,,,,,,,,,,,10,
3817.698627,clGetDeviceInfo|General,END,,,,,,,,,,,10,
3817.719686,clGetDeviceInfo|General,START,,,,,,,,,,,11,
3817.729815,clGetDeviceInfo|General,END,,,,,,,,,,,11,
3817.760682,clCreateContext|General,START,,,,,,,,,,,12,
3832.068462,clCreateContext|General,END,,,,,,,,,,,12,
3832.079142,clCreateCommandQueue|General,START,,,,,,,,,,,13,
3832.089291,clCreateCommandQueue|General,END,,,,,,,,,,,13,
3845.819687,clCreateProgramWithBinary|General,START,,,,,,,,,,,14,
3908.72229,clCreateProgramWithBinary|General,END,,,,,,,,,,,14,
3908.740765,clCreateKernel|General,START,,,,,,,,,,,15,
3909.213553,clCreateKernel|General,END,,,,,,,,,,,15,
3909.278434,clCreateBuffer|General,START,,,,,,,,,,,16,
3909.286199,clCreateBuffer|General,END,,,,,,,,,,,16,
3909.288964,clCreateBuffer|General,START,,,,,,,,,,,17,
3909.2922,clCreateBuffer|General,END,,,,,,,,,,,17,
3909.294875,clCreateBuffer|General,START,,,,,,,,,,,18,
3909.29777,clCreateBuffer|General,END,,,,,,,,,,,18,
3909.300716,clSetKernelArg|General,START,,,,,,,,,,,19,
3912.300893,clSetKernelArg|General,END,,,,,,,,,,,19,
3912.317684,clSetKernelArg|General,START,,,,,,,,,,,20,
3916.722053,clSetKernelArg|General,END,,,,,,,,,,,20,
3916.729256,clSetKernelArg|General,START,,,,,,,,,,,21,
3919.220548,clSetKernelArg|General,END,,,,,,,,,,,21,
3919.226148,clSetKernelArg|General,START,,,,,,,,,,,22,
3919.229715,clSetKernelArg|General,END,,,,,,,,,,,22,
3919.232821,clSetKernelArg|General,START,,,,,,,,,,,23,
3919.236047,clSetKernelArg|General,END,,,,,,,,,,,23,
3919.238662,clSetKernelArg|General,START,,,,,,,,,,,24,
3919.241306,clSetKernelArg|General,END,,,,,,,,,,,24,
3919.244422,clRetainMemObject|General,START,,,,,,,,,,,25,
3919.251465,clRetainMemObject|General,END,,,,,,,,,,,25,
3919.254271,clRetainMemObject|General,START,,,,,,,,,,,26,
3919.257216,clRetainMemObject|General,END,,,,,,,,,,,26,
3919.260592,clRetainMemObject|General,START,,,,,,,,,,,27,
3919.263398,clRetainMemObject|General,END,,,,,,,,,,,27,
3919.266042,clRetainMemObject|General,START,,,,,,,,,,,28,
3919.268778,clRetainMemObject|General,END,,,,,,,,,,,28,
3919.272745,clEnqueueMigrateMemObjects|94196033968432,START,,,,,,,,,,,29,
3919.318129,WRITE_BUFFER,QUEUE,0X0|HBM[0]-HBM[2],538968064,,,,,,,,,
3919.329781,WRITE_BUFFER,SUBMIT,0X0|HBM[0]-HBM[2],538968064,,,,,,,,,
3919.648694,clEnqueueMigrateMemObjects|94196033968432,END,,,,,,,,,,,29,
3919.654665,clReleaseMemObject|General,START,,,,,,,,,,,30,
3919.658823,clReleaseMemObject|General,END,,,,,,,,,,,30,
3919.661608,clReleaseMemObject|General,START,,,,,,,,,,,31,
3919.664643,clReleaseMemObject|General,END,,,,,,,,,,,31,
3919.667308,clReleaseMemObject|General,START,,,,,,,,,,,32,
3919.670174,clReleaseMemObject|General,END,,,,,,,,,,,32,
3919.672799,clReleaseMemObject|General,START,,,,,,,,,,,33,
3919.675544,clReleaseMemObject|General,END,,,,,,,,,,,33,
3919.678409,clEnqueueTask|94196033968432,START,,,,,,,,,,,34,
3919.691854,DEPENDENCY_EVENT,,0,1,
3919.696142,WRITE_BUFFER,QUEUE,0X0|HBM[0],538968064,,,,,,,,,
3919.701562,DEPENDENCY_EVENT,,1,2,
3919.728272,DEPENDENCY_EVENT,,1,2,
3919.741466,KERNEL|xilinx_u50lv_gen3x4_xdma_base_2-0|vadd_hw|vadd|1:1:1|all,QUEUE,0X55ABB925E660,1,,,,,,,,,
3919.751204,clEnqueueTask|94196033968432,END,,,,,,,,,,,34,
3919.754581,clRetainMemObject|General,START,,,,,,,,,,,35,
3919.757837,clRetainMemObject|General,END,,,,,,,,,,,35,
3919.760612,clRetainMemObject|General,START,,,,,,,,,,,36,
3919.763307,clRetainMemObject|General,END,,,,,,,,,,,36,
3919.76484,WRITE_BUFFER,START,0X0|HBM[0]-HBM[2]|0X7f266b272700,538968064,,,,,,,0,1,
3919.771292,clEnqueueMigrateMemObjects|94196033968432,START,,,,,,,,,,,37,
3919.837695,DEPENDENCY_EVENT,,2,3,
3919.841192,READ_BUFFER,QUEUE,0X40000000|HBM[4],269484032,,,,,,,,,
3919.847113,clEnqueueMigrateMemObjects|94196033968432,END,,,,,,,,,,,37,
3919.851511,clReleaseMemObject|General,START,,,,,,,,,,,38,
3919.855909,clReleaseMemObject|General,END,,,,,,,,,,,38,
3919.859726,clReleaseMemObject|General,START,,,,,,,,,,,39,
3919.863393,clReleaseMemObject|General,END,,,,,,,,,,,39,
3919.867661,clCreateBuffer|General,START,,,,,,,,,,,40,
3919.873582,clCreateBuffer|General,END,,,,,,,,,,,40,
3919.877169,clCreateBuffer|General,START,,,,,,,,,,,41,
3919.881156,clCreateBuffer|General,END,,,,,,,,,,,41,
3919.884823,clCreateBuffer|General,START,,,,,,,,,,,42,
3919.889081,clCreateBuffer|General,END,,,,,,,,,,,42,
3919.892818,clSetKernelArg|General,START,,,,,,,,,,,43,
3920.09844,clSetKernelArg|General,END,,,,,,,,,,,43,
Footer,begin
Project,vadd_hw,
Stall profiling,false,
Target,System Run,
Platform,xilinx_u50lv_gen3x4_xdma_base_2-0,
Device,xilinx_u50lv_gen3x4_xdma_base_2-0,begin
DDR Banks,begin
Bank,0,0X000000000
DDR Banks,end
Device,xilinx_u50lv_gen3x4_xdma_base_2-0,end
Device,xilinx_u50lv_gen3x4_xdma_base_2-1,begin
DDR Banks,begin
Bank,0,0X000000000
DDR Banks,end
Device,xilinx_u50lv_gen3x4_xdma_base_2-1,end
UnusedComputeUnit,vadd_1,
Footer,end

